GB/T 4754-2017 (code),GB/T 4754-2017 (desc),ISIC Rev.4 (code),ISIC Rev.4 (desc)
1932,毛皮服装加工,1420,毛皮制品的制造
1939,其他毛皮制品加工,1420,毛皮制品的制造
1941,羽毛（绒）加工,1010,肉类的加工和保藏
1942,羽毛（绒）制品加工,1410,服装制造，但毛皮服装除外
1942,羽毛（绒）制品加工,1420,毛皮制品的制造
1951,纺织面料鞋制造,1520,鞋靴的制造
1952,皮鞋制造,1520,鞋靴的制造
1953,塑料鞋制造,1520,鞋靴的制造
1954,橡胶鞋制造,1520,鞋靴的制造
1959,其他制鞋业,1520,鞋靴的制造
2011,锯材加工,1610,锯木和刨木
2012,木片加工,1610,锯木和刨木
2013,单板加工,1610,锯木和刨木
2019,其他木材加工,1610,锯木和刨木
2021,胶合板制造,1621,薄板和木基板材的制造
2022,纤维板制造,1621,薄板和木基板材的制造
2023,刨花板制造,1621,薄板和木基板材的制造
2029,其他人造板制造,1621,薄板和木基板材的制造
2031,建筑用木料及木材组件加工,1622,建筑用木料及木材元件的制造
2032,木门窗制造,1622,建筑用木料及木材元件的制造
2033,木楼梯制造,1622,建筑用木料及木材元件的制造
2034,木地板制造,1622,建筑用木料及木材元件的制造
2035,木制容器制造,1623,木容器的制造
2039,软木制品及其他木制品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2041,竹制品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2042,藤制品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2043,棕制品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2049,草及其他制品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2110,木质家具制造,3100,家具的制造
2120,竹、藤家具制造,3100,家具的制造
2130,金属家具制造,3100,家具的制造
2140,塑料家具制造,3100,家具的制造
2190,其他家具制造,3100,家具的制造
2190,其他家具制造,2395,混凝土、水泥及石膏制品的制造
2190,其他家具制造,2396,石头的切割、成形和精加工
2211,木竹浆制造,1701,纸浆、纸和纸板的制造
2212,非木竹浆制造,1701,纸浆、纸和纸板的制造
2221,机制纸及纸板制造,1701,纸浆、纸和纸板的制造
2221,机制纸及纸板制造,1702,瓦楞纸和瓦楞纸板以及纸和纸板容器的制造
2221,机制纸及纸板制造,1709,其他纸制品和纸板制品的制造
2222,手工纸制造,1701,纸浆、纸和纸板的制造
2223,加工纸制造,1701,纸浆、纸和纸板的制造
2231,纸和纸板容器制造,1702,瓦楞纸和瓦楞纸板以及纸和纸板容器的制造
2239,其他纸制品制造,1709,其他纸制品和纸板制品的制造
2311,书、报刊印刷,1811,印刷
2312,本册印制,1811,印刷
2319,包装装潢及其他印刷,1811,印刷
2320,装订及印刷相关服务,1812,与印刷有关的服务活动
2330,记录媒介复制,1820,记录媒介物的复制
2411,文具制造,1709,其他纸制品和纸板制品的制造
2411,文具制造,3290,未另分类的其他用品的制造
2411,文具制造,2599,未另分类的其他金属制品的制造
2411,文具制造,2220,塑料制品的制造
2412,笔的制造,3290,未另分类的其他用品的制造
2413,教学用模型及教具制造,3290,未另分类的其他用品的制造
2413,教学用模型及教具制造,2220,塑料制品的制造
2413,教学用模型及教具制造,2817,办公机械和设备的制造(计算机及外部产品除
2414,墨水、墨汁制造,2029,未另分类的其他化学制品的制造
2419,其他文教办公用品制造,3290,未另分类的其他用品的制造
2419,其他文教办公用品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2421,中乐器制造,3220,乐器的制造
2422,西乐器制造,3220,乐器的制造
2423,电子乐器制造,3220,乐器的制造
2429,其他乐器及零件制造,3220,乐器的制造
2431,雕塑工艺品制造,2220,塑料制品的制造
2431,雕塑工艺品制造,2395,混凝土、水泥及石膏制品的制造
2431,雕塑工艺品制造,1629,其他木制品的制造；软木制品、草编制品及编织
2432,金属工艺品制造,2599,未另分类的其他金属制品的制造
2432,金属工艺品制造,2593,刀具、手工工具和普通金属器具的制造
2433,漆器工艺品制造,3290,未另分类的其他用品的制造
2434,花画工艺品制造,3290,未另分类的其他用品的制造
